,,,亿元,2022,,,,2021,,,,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,
nodename,Location,id,node,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金
浙商银行股份有限公司,Zhejiang Province,73,21,26200.000 ,95.810 ,24600.000 ,642.000 ,22900.000 ,128.000 ,21200.000 ,410.000 ,20500.000 ,56.370 ,19200.000 ,485.000 ,18000.000 ,91.840 ,16700.000 ,339.000 ,16500.000 ,77.306 ,15400.000 ,381.000 ,15400.000 ,41.525 ,14500.000 ,292.000 ,13500.000 ,19.183 ,12900.000 ,194.000 ,10300.000 ,6.961 ,9820.000 ,28.579 ,6700.000 ,84.744 ,6368.000 ,57.805 ,4881.000 ,151.000 ,4603.000 ,34.595 
中国工商银行股份有限公司,Beijing,74,22,396100.000 ,8268.000 ,360900.000 ,5228.000 ,351713.830 ,4806.930 ,318961.250 ,4893.400 ,333450.580 ,5589.840 ,304355.430 ,4686.160 ,301094.360 ,5670.430 ,274174.330 ,4902.530 ,276995.400 ,5778.030 ,253546.570 ,4862.490 ,260870.430 ,4775.370 ,239459.870 ,4919.480 ,241372.650 ,5274.150 ,221561.020 ,5001.070 ,222097.800 ,4722.340 ,204092.610 ,4775.930 ,206099.530 ,4785.030 ,190726.490 ,4324.630 ,189177.520 ,4116.180 ,176392.890 ,4021.610 
中国光大银行股份有限公司,Beijing,75,23,63000.000 ,1300.000 ,57900.000 ,1886.000 ,59000.000 ,1383.000 ,54200.000 ,1796.000 ,53700.000 ,693.000 ,49100.000 ,1619.000 ,47300.000 ,603.000 ,43500.000 ,1662.000 ,43600.000 ,967.000 ,40300.000 ,1520.000 ,40900.000 ,1488.000 ,37800.000 ,1068.000 ,40200.000 ,1263.000 ,37700.000 ,955.000 ,31700.000 ,1324.000 ,29400.000 ,603.000 ,27400.000 ,1327.000 ,25600.000 ,367.000 ,24200.000 ,1243.000 ,22600.000 ,508.000 
中国建设银行股份有限公司,Beijing,76,24,346000.000 ,5098.000 ,317200.000 ,3658.000 ,302500.000 ,1882.000 ,276400.000 ,2993.000 ,281300.000 ,3684.000 ,257400.000 ,3496.000 ,254400.000 ,5311.000 ,232000.000 ,5216.000 ,232200.000 ,3497.000 ,212300.000 ,4202.000 ,221200.000 ,3252.000 ,203300.000 ,3826.000 ,209600.000 ,2607.000 ,193700.000 ,3225.000 ,183500.000 ,3108.000 ,169000.000 ,3217.000 ,167400.000 ,2485.000 ,154900.000 ,2024.000 ,153600.000 ,1521.000 ,142900.000 ,1559.000 
中国民生银行股份有限公司,Beijing,77,25,72600.000 ,1824.000 ,66400.000 ,962.000 ,69500.000 ,1588.000 ,63700.000 ,640.000 ,69500.000 ,2219.000 ,64100.000 ,1584.000 ,66800.000 ,2486.000 ,61500.000 ,1347.000 ,59900.000 ,2465.000 ,55600.000 ,1766.000 ,59000.000 ,1432.000 ,55100.000 ,1775.000 ,59000.000 ,1829.000 ,55400.000 ,1004.000 ,45200.000 ,2292.000 ,42100.000 ,704.000 ,40200.000 ,1764.000 ,37700.000 ,430.000 ,32300.000 ,1080.000 ,30200.000 ,292.000 
中国农业银行股份有限公司,Beijing,78,26,339300.000 ,5003.000 ,312500.000 ,3338.000 ,290700.000 ,4469.000 ,266500.000 ,2911.000 ,272100.000 ,5469.000 ,249900.000 ,3907.000 ,248800.000 ,5232.000 ,229200.000 ,3254.000 ,226100.000 ,5520.000 ,209300.000 ,3255.000 ,210500.000 ,5053.000 ,196200.000 ,2801.000 ,195700.000 ,5809.000 ,182500.000 ,3020.000 ,177900.000 ,5043.000 ,165800.000 ,3158.000 ,159700.000 ,4071.000 ,149400.000 ,2249.000 ,145600.000 ,3087.000 ,137200.000 ,1744.000 
中国银行股份有限公司,Beijing,79,27,288900.000 ,8456.000 ,263300.000 ,3284.000 ,267200.000 ,7522.000 ,243700.000 ,3104.000 ,244000.000 ,7093.000 ,222400.000 ,2847.000 ,227700.000 ,7446.000 ,207900.000 ,4623.000 ,212700.000 ,7818.000 ,195400.000 ,3272.000 ,194700.000 ,4866.000 ,178900.000 ,2417.000 ,181500.000 ,4839.000 ,166600.000 ,1864.000 ,168200.000 ,3502.000 ,154600.000 ,2644.000 ,152500.000 ,2991.000 ,140700.000 ,1883.000 ,138700.000 ,2548.000 ,129100.000 ,2679.000 
中国邮政储蓄银行股份有限公司,Beijing,80,28,140700.000 ,3033.000 ,132400.000 ,427.000 ,125900.000 ,2801.000 ,117900.000 ,426.000 ,113500.000 ,2484.000 ,106800.000 ,307.000 ,102200.000 ,2696.000 ,96700.000 ,258.000 ,95200.000 ,2856.000 ,90400.000 ,398.000 ,90100.000 ,3160.000 ,85800.000 ,736.000 ,82700.000 ,1933.000 ,79200.000 ,142.000 ,73000.000 ,2005.000 ,70300.000 ,709.000 ,63000.000 ,1138.000 ,61100.000 ,183.000 ,55700.000 ,935.000 ,54300.000 ,123.000 
中信银行股份有限公司,Beijing,81,29,85500.000 ,2182.000 ,78600.000 ,707.000 ,80400.000 ,1439.000 ,74000.000 ,783.000 ,75100.000 ,1684.000 ,69500.000 ,578.000 ,67500.000 ,2045.000 ,62200.000 ,925.000 ,60700.000 ,1762.000 ,56100.000 ,1154.000 ,56800.000 ,1721.000 ,52700.000 ,776.000 ,59300.000 ,1672.000 ,55500.000 ,837.000 ,51200.000 ,1188.000 ,48000.000 ,492.000 ,41400.000 ,682.000 ,38700.000 ,196.000 ,36400.000 ,1223.000 ,34100.000 ,420.000 
重庆银行股份有限公司,Chongqing,84,30,6847.000 ,34.342 ,6332.000 ,345.000 ,6190.000 ,5.063 ,5697.000 ,259.000 ,5616.000 ,26.935 ,5196.000 ,223.000 ,5012.000 ,54.355 ,4626.000 ,170.000 ,4504.000 ,101.000 ,4158.000 ,142.000 ,4228.000 ,80.329 ,3903.000 ,61.000 ,3731.000 ,76.556 ,3493.000 ,25.860 ,3198.000 ,7.230 ,2985.000 ,30.000 ,2745.000 ,25.860 ,2586.000 ,35.000 ,2068.000 ,19.114 ,1933.000 ,10.547 
